StockCode,Description,Sentiment,Confidence
22112,CHOCOLATE HOT WATER BOTTLE,Neutral,0.7831
21329,DINOSAURS  WRITING SET ,Neutral,0.8593
21252,SET OF MEADOW  FLOWER STICKERS,Neutral,0.869
21100,CHARLIE AND LOLA CHARLOTTE BAG,Neutral,0.8169
21033,JUMBO BAG CHARLIE AND LOLA TOYS,Neutral,0.7808
20711,JUMBO BAG TOYS ,Neutral,0.7672
21410,COUNTRY COTTAGE  DOORSTOP GREEN,Neutral,0.7698
21411,GINGHAM HEART  DOORSTOP RED,Neutral,0.7103
84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,Neutral,0.7034
84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,Neutral,0.7115
84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,Neutral,0.6857
84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,Neutral,0.7259
84519A,TOMATO CHARLIE+LOLA COASTER SET,Neutral,0.8546
84519B,CARROT CHARLIE+LOLA COASTER SET,Neutral,0.8474
85132A,CHARLIE + LOLA BISCUITS TINS,Neutral,0.8264
85132C,CHARLIE AND LOLA FIGURES TINS,Neutral,0.8216
85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,Neutral,0.8254
85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,Neutral,0.8412
22065,CHRISTMAS PUDDING TRINKET POT ,Neutral,0.7611
22138,BAKING SET 9 PIECE RETROSPOT ,Neutral,0.8246
22139,RETRO SPOT TEA SET CERAMIC 11 PC ,Neutral,0.8788
22352,LUNCHBOX WITH CUTLERY RETROSPOT ,Neutral,0.819
85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,Neutral,0.8647
85014B,RED/WHITE DOTS RUFFLED UMBRELLA,Neutral,0.8103
16161P,WRAP ENGLISH ROSE ,Neutral,0.8368
16169N,WRAP BLUE RUSSIAN FOLKART,Neutral,0.7797
21491,SET OF THREE VINTAGE GIFT WRAPS,Neutral,0.8652
22333,RETRO SPORT PARTY BAG + STICKER SET,Neutral,0.8739
85216,ASSORTED CAKES FRIDGE MAGNETS,Neutral,0.757
21493, VINTAGE DESIGN GIFT TAGS,Neutral,0.8581
21731,RED TOADSTOOL LED NIGHT LIGHT,Neutral,0.8224
85232B,SET/3 RUSSIAN DOLL STACKING TINS,Neutral,0.8246
84691,PACK 20 DOLLY PEGS,Neutral,0.8124
20749,ASSORTED COLOUR MINI CASES,Neutral,0.7502
POST,POSTAGE,Neutral,0.6095
22321,BIRD DECORATION RED SPOT,Neutral,0.7664
84029E,RED WOOLLY HOTTIE WHITE HEART.,Neutral,0.6381
21955,UNION JACK GUNS & ROSES  DOORMAT,Neutral,0.7179
84899E,YELLOW + BROWN BEAR FELT PURSE KIT,Neutral,0.8479
85123A,WHITE HANGING HEART T-LIGHT HOLDER,Neutral,0.717
21582,KINGS CHOICE SMALL TUBE MATCHES,Neutral,0.8643
21586,KINGS CHOICE GIANT TUBE MATCHES,Neutral,0.8562
21590,KINGS CHOICE CIGAR BOX MATCHES ,Neutral,0.8418
22091,EMPIRE TISSUE BOX,Neutral,0.7105
84251J,"GREETING CARD, THE BLACK CAT",Neutral,0.8367
22024,RAINY LADIES BIRTHDAY CARD,Neutral,0.7996
22026,BANQUET BIRTHDAY  CARD  ,Neutral,0.813
22029,SPACE BOY BIRTHDAY CARD,Neutral,0.8152
22025,RING OF ROSES BIRTHDAY CARD,Neutral,0.7165
22031,BOTANICAL LAVENDER BIRTHDAY CARD,Neutral,0.8749
21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,Neutral,0.8466
21430,SET/3 RED GINGHAM ROSE STORAGE BOX,Neutral,0.8435
21916,SET 12 RETRO WHITE CHALK STICKS,Neutral,0.8946
21790,VINTAGE SNAP CARDS,Neutral,0.7403
21888,BINGO SET,Neutral,0.6846
85178,VICTORIAN SEWING KIT,Negative,0.7035
20754,RETRO RED SPOTTY WASHING UP GLOVES,Positive,0.4989
21035,SET/2 RED SPOTTY TEA TOWELS ,Neutral,0.8313
82001S,VINYL RECORD FRAME SILVER,Neutral,0.8413
82580,BATHROOM METAL SIGN,Neutral,0.8056
85150,LADIES & GENTLEMEN METAL SIGN,Neutral,0.8831
21041,RED SPOTTY OVEN GLOVE DOUBLE,Neutral,0.7393
35916C,PINK FELT HANGING HEART W FLOWER,Neutral,0.742
35916B,BLUE FELT HANGING HEART W FLOWER,Neutral,0.7714
22180,RETRO SPOT LAMP,Neutral,0.8284
22128,PARTY CONES CANDY ASSORTED,Neutral,0.8002
22163,HEART STRING MEMO HOLDER HANGING,Neutral,0.7521
35951,FOLKART BAUBLE CHRISTMAS DECORATION,Neutral,0.8496
22253,6 CROCHET STRAWBERRIES,Neutral,0.7858
84988,SET OF 72 PINK HEART PAPER DOILIES,Neutral,0.858
22219,LOVEBIRD HANGING DECORATION WHITE ,Positive,0.6144
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,Neutral,0.8444
21299,EDWARDIAN TOILET ROLL UNIT ,Neutral,0.8408
21099,SET/6 STRAWBERRY PAPER CUPS,Neutral,0.855
21085,SET/6 WOODLAND PAPER CUPS,Neutral,0.8607
21929,JUMBO BAG PINK VINTAGE PAISLEY,Neutral,0.843
22241,"GARLAND , WOODEN  "" HAPPY EASTER""",Positive,0.8259
21091,SET/6 WOODLAND PAPER PLATES,Neutral,0.9039
21733,RED HANGING HEART T-LIGHT HOLDER,Neutral,0.7448
22178,VICTORIAN GLASS HANGING T-LIGHT,Neutral,0.8598
22125,UNION JACK HOT WATER BOTTLE ,Neutral,0.7673
21671,RED SPOT CERAMIC DRAWER KNOB,Neutral,0.788
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,Neutral,0.8211
22294,HEART FILIGREE DOVE  SMALL,Neutral,0.6996
22199,FRYING PAN RED POLKADOT ,Neutral,0.6916
22083,PAPER CHAIN KIT RETRO SPOT,Neutral,0.8054
22114,HOT WATER BOTTLE TEA AND SYMPATHY,Neutral,0.8379
21485,RED SPOT HEART HOT WATER BOTTLE,Neutral,0.6777
21928,JUMBO BAG SCANDINAVIAN PAISLEY,Neutral,0.8477
85099B,JUMBO BAG RED WHITE SPOTTY ,Neutral,0.7818
22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",Neutral,0.8308
20724,RED SPOTTY CHARLOTTE BAG,Neutral,0.7444
21592,RETRO SPOT  CIGAR BOX MATCHES ,Neutral,0.8333
20725,LUNCH BAG RED SPOTTY,Neutral,0.7735
20728,LUNCH BAG CARS BLUE,Neutral,0.7862
20726,LUNCH BAG WOODLAND,Neutral,0.8479
21217,RED SPOTTY ROUND CAKE TINS,Neutral,0.7379
22195,LARGE HEART MEASURING SPOONS,Neutral,0.8081
85066,CREAM SWEETHEART MINI CHEST,Neutral,0.493
20827,GOLD APERITIF GLASS,Neutral,0.7243
20825,GOLD WINE GLASS,Neutral,0.7013
20823,GOLD WINE GOBLET,Neutral,0.7182
20826,SILVER APERITIF GLASS,Neutral,0.7499
22087,PAPER BUNTING WHITE LACE,Neutral,0.5903
85206A,CREAM FELT EASTER EGG BASKET,Neutral,0.7625
21895,POTTING SHED SOW 'N' GROW SET,Neutral,0.8779
21896,POTTING SHED TWINE,Neutral,0.8324
84946,ANTIQUE SILVER TEA GLASS ETCHED,Neutral,0.798
22090,PAPER BUNTING RETRO SPOTS,Neutral,0.7977
90200A,PURPLE SWEETHEART BRACELET,Neutral,0.6233
90200D,PINK SWEETHEART BRACELET,Neutral,0.6492
90200B,BLACK SWEETHEART BRACELET,Neutral,0.7299
90200E,GREEN SWEETHEART BRACELET,Positive,0.5285
90200C,BLUE SWEETHEART BRACELET,Neutral,0.6161
90185C,BLACK DIAMANTE EXPANDABLE RING,Neutral,0.8568
90185B,AMETHYST DIAMANTE EXPANDABLE RING,Neutral,0.7425
90003C,MIDNIGHT BLUE PAIR HEART HAIR SLIDE,Neutral,0.7784
90003D,CRYSTAL PAIR HEART HAIR SLIDES,Neutral,0.7481
90003B,ROSE COLOUR PAIR HEART HAIR SLIDES,Neutral,0.8352
90209C,PINK ENAMEL+GLASS HAIR COMB,Neutral,0.8464
90209A,PURPLE ENAMEL+GLASS HAIR COMB,Neutral,0.865
90082D,DIAMANTE BOW BROOCH BLACK COLOUR,Neutral,0.8078
21977,PACK OF 60 PINK PAISLEY CAKE CASES,Neutral,0.8494
84991,60 TEATIME FAIRY CAKE CASES,Neutral,0.8398
22273,FELTCRAFT DOLL MOLLY,Neutral,0.7708
22179,SET 10 LIGHTS NIGHT OWL,Neutral,0.8924
22320,BIRDS MOBILE VINTAGE DESIGN,Neutral,0.8406
22232,3 PIECE JIGSAW TOADSTOOLS,Neutral,0.8265
84598,BOYS ALPHABET IRON ON PATCHES,Neutral,0.8651
79323S, SILVER CHERRY LIGHTS,Neutral,0.7161
84568,GIRLS ALPHABET IRON ON PATCHES ,Neutral,0.8601
21668,RED STRIPE CERAMIC DRAWER KNOB,Neutral,0.7867
21669,BLUE STRIPE CERAMIC DRAWER KNOB,Neutral,0.8233
21670,BLUE SPOT CERAMIC DRAWER KNOB,Neutral,0.82
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,Neutral,0.8198
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,Neutral,0.8145
85071A,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,Neutral,0.8763
85071B,RED CHARLIE+LOLA PERSONAL DOORSIGN,Neutral,0.869
21161,KEEP OUT BOYS DOOR HANGER ,Neutral,0.7225
21162,TOXIC AREA  DOOR HANGER ,Neutral,0.5749
21248,DOOR HANGER  MUM + DADS ROOM,Neutral,0.8241
21159,MOODY BOY  DOOR HANGER ,Neutral,0.754
82494L,WOODEN FRAME ANTIQUE WHITE ,Neutral,0.7288
82486,WOOD S/3 CABINET ANT WHITE FINISH,Neutral,0.9133
82483,WOOD 2 DRAWER CABINET WHITE FINISH,Neutral,0.8947
21212,PACK OF 72 RETRO SPOT CAKE CASES,Neutral,0.8932
72756,FAIRY CAKE CANDLES,Neutral,0.6443
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,Neutral,0.855
37450,CERAMIC CAKE BOWL + HANGING CAKES,Neutral,0.7752
21707,"FOLDING UMBRELLA , BLACK/BLUE  SPOT",Neutral,0.8363
21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,Neutral,0.8072
21708,FOLDING UMBRELLA  CREAM/MULTI  SPOT,Neutral,0.833
21706,"FOLDING UMBRELLA , RED/WHITE SPOT",Neutral,0.8156
21711,FOLDING UMBRELLA  WHITE/RED  SPOT,Neutral,0.849
20747,PICCADILLY TEA SET,Neutral,0.8382
20752,RETRO BLUE SPOTTY WASHING UP GLOVES,Positive,0.5067
20753,RETRO PINK SPOT WASHING UP GLOVES,Positive,0.6036
20751,FUNKY WASHING UP GLOVES ASSORTED,Neutral,0.6272
48185,DOOR MAT FAIRY CAKE,Neutral,0.6973
21481,FAWN BLUE HOT WATER BOTTLE,Neutral,0.7595
85042,ANTIQUE LILY FAIRY LIGHTS,Neutral,0.6674
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,Neutral,0.8644
22149,FELTCRAFT 6 FLOWER FRIENDS,Neutral,0.8347
21482,MUSHROOM BLUE HOT WATER BOTTLE,Neutral,0.7812
21484,CHICK GREY HOT WATER BOTTLE,Neutral,0.747
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,Neutral,0.7845
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,Neutral,0.8349
84582,PINK CROCHET CAT WITH SCARF,Neutral,0.8205
20972,PINK CREAM FELT CRAFT TRINKET BOX ,Neutral,0.7821
84327A,PINK JUMPER LARRY THE LAMB,Neutral,0.8108
21490,SET OF THREE 50'S GIFT WRAPS ,Neutral,0.8591
21063,PARTY INVITES JAZZ HEARTS,Neutral,0.8377
21058,PARTY INVITES WOODLAND,Neutral,0.8574
84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,Neutral,0.8577
84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,Neutral,0.8809
22301,COFFEE MUG CAT + BIRD DESIGN,Neutral,0.8175
22300,COFFEE MUG DOG + BALL DESIGN,Neutral,0.8399
21231,SWEETHEART CERAMIC TRINKET BOX,Neutral,0.7169
20870,OPULENT VELVET CANDLE IN BOX,Neutral,0.8243
90121B,VINTAGE ROSE BEAD BRACELET BLUE,Neutral,0.6857
90175A,WHITE GLASS CHUNKY CHARM BRACELET,Neutral,0.8007
90195B,BLACK GEMSTONE BRACELET,Neutral,0.8683
90062,CARNIVAL BRACELET,Neutral,0.7428
21930,JUMBO STORAGE BAG SKULLS,Neutral,0.6733
21540,DAIRY MAID CERAMIC BUTTER DISH,Neutral,0.7375
21533,RETRO SPOT LARGE MILK JUG,Neutral,0.846
85083,KISS REINDEER SCANDINAVIAN STOCKING,Neutral,0.8735
21472,LADYBIRD + BEE RAFFIA FOOD COVER,Neutral,0.8068
47566B,TEA TIME PARTY BUNTING,Neutral,0.7931
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,Neutral,0.8805
21479,WHITE SKULL HOT WATER BOTTLE ,Neutral,0.7725
21791,VINTAGE HEADS AND TAILS CARD GAME ,Neutral,0.8366
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,Neutral,0.7624
37449,CERAMIC CAKE STAND + HANGING CAKES,Neutral,0.8241
37446,MINI CAKE STAND WITH HANGING CAKES,Neutral,0.8833
21258,VICTORIAN SEWING BOX LARGE,Neutral,0.8046
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,Neutral,0.896
47591D,PINK FAIRY CAKE CHILD'S APRON,Neutral,0.7425
21867,PINK UNION JACK  LUGGAGE TAG,Neutral,0.8561
82551,LAUNDRY 15C METAL SIGN,Neutral,0.8081
82567,"AIRLINE LOUNGE,METAL SIGN",Neutral,0.8098
82613D,METAL SIGN CUPCAKE SINGLE HOOK,Neutral,0.8571
21179,NO JUNK MAIL METAL SIGN,Negative,0.5059
21865,PINK UNION JACK  PASSPORT COVER ,Neutral,0.7918
72783,BLACK SIL'T SQU CANDLE PLATE ,Neutral,0.7216
20719,WOODLAND CHARLOTTE BAG,Neutral,0.7988
21869,POTTING SHED COFFEE MUG,Neutral,0.7756
21876,POTTERING MUG,Neutral,0.592
84849B,FAIRY SOAP SOAP HOLDER,Neutral,0.7631
21864,UNION JACK FLAG PASSPORT COVER ,Neutral,0.8449
21470,FLOWER VINE RAFFIA FOOD COVER,Neutral,0.8531
20897,VINTAGE NOTEBOOK PARIS DAYS,Neutral,0.8838
44230,SQUARE MIRROR CURTAIN,Neutral,0.8257
37485,ENGLISH ROSE TEA SET IN GIFT BOX,Neutral,0.8791
84997A,GREEN 3 PIECE MINI DOTS CUTLERY SET,Neutral,0.8742
21245,GREEN  SPOTTY PLATE ,Neutral,0.7331
21241,GREEN SPOTTY CUP,Neutral,0.6724
21705,BAG 500g SWIRLY MARBLES,Neutral,0.8266
21913,VINTAGE SEASIDE JIGSAW PUZZLES,Neutral,0.8422
16207A,PINK STRAWBERRY HANDBAG ,Neutral,0.7503
21821,GLITTER STAR GARLAND WITH BELLS ,Neutral,0.7622
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,Neutral,0.7655
21584,RETRO SPOT SMALL TUBE MATCHES,Neutral,0.859
21931,JUMBO STORAGE BAG SUKI,Neutral,0.7618
47591A,CAROUSEL DES CHILD'S APRON,Neutral,0.7054
84997B,RED 3 PIECE MINI DOTS CUTLERY SET,Neutral,0.8535
22122,SET OF 2 FANCY FONT TEA TOWELS,Neutral,0.862
21837,CROSS STITCH ALPHABET CUSHION COVER,Neutral,0.839
84951A,S/4 PISTACHIO LOVEBIRD COASTERS,Neutral,0.6883
22335,HEART DECORATION PAINTED ZINC ,Neutral,0.7475
85129A,"WHITE PEARL BEADED HEART, SMALL",Neutral,0.749
84791,GINGHAM HEART DECORATION,Neutral,0.8199
21244,BLUE  SPOTTY PLATE ,Neutral,0.7627
20675,BLUE SPOTTY BOWL,Neutral,0.6932
82616B,FRAPPUCINO SCARF KNITTING KIT,Neutral,0.5986
22276,WASH BAG VINTAGE ROSE PAISLEY,Neutral,0.8741
84912B,GREEN ROSE WASHBAG,Neutral,0.7517
85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,Neutral,0.8464
85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,Neutral,0.8441
21326,AGED GLASS SILVER T-LIGHT HOLDER,Neutral,0.7401
84949,SILVER HANGING T-LIGHT HOLDER,Neutral,0.847
21908,CHOCOLATE THIS WAY METAL SIGN,Neutral,0.7932
21371,MIRRORED WALL ART POPPIES,Neutral,0.8253
85152,HAND OVER THE CHOCOLATE   SIGN ,Neutral,0.6696
21133,PAINTED BIRD ASSORTED CHRISTMAS,Neutral,0.7765
20984,12 PENCILS TALL TUBE POSY,Neutral,0.7824
20982,12 PENCILS TALL TUBE SKULLS,Neutral,0.7841
84971L,LARGE HEART FLOWERS HOOK   ,Neutral,0.6185
90168,2 DAISIES HAIR COMB,Neutral,0.8278
84884A,ANT WHITE WIRE HEART SPIRAL,Neutral,0.7875
90013C,GREEN VINTAGE EARRINGS ,Neutral,0.8119
90023,FILIGREE DIAMANTE EARRINGS,Neutral,0.7077
90067A,PINK VINTAGE VICTORIAN EARRINGS,Neutral,0.8236
90067B,BROWN VINTAGE VICTORIAN EARRINGS,Neutral,0.8049
90145,SILVER HOOP EARRINGS WITH FLOWER,Neutral,0.8542
90000A,RASPBERRY ANT COPPER FLOWER NECKLAC,Neutral,0.7879
90024B,NEW BAROQUE B'FLY NECKLACE RED,Neutral,0.8274
90036D,"FLOWER GLASS GARLAND NECKL.36""BLACK",Neutral,0.8706
90134,OLD ROSE COMBO BEAD NECKLACE,Neutral,0.7839
90131,PINK/AMETHYST/GOLD NECKLACE,Neutral,0.8599
90199C,5 STRAND GLASS NECKLACE CRYSTAL,Neutral,0.7279
35751C,PURPLE CURRENT CANDLE RING,Neutral,0.85
72739B,WHITE CHOCOLATE SCENT CANDLE,Neutral,0.7925
22212,FOUR HOOK  WHITE LOVEBIRDS,Neutral,0.6455
48187,DOOR MAT NEW ENGLAND,Neutral,0.8454
48195,DOOR MAT GREEN PAISLEY ,Neutral,0.8056
72741,GRAND CHOCOLATECANDLE,Neutral,0.7685
85232D,SET/3 DECOUPAGE STACKING TINS,Neutral,0.7882
20828,GLITTER BUTTERFLY CLIPS,Neutral,0.7643
22080,RIBBON REEL SPOTS DESIGN ,Neutral,0.7978
22082,RIBBON REEL STRIPES DESIGN ,Neutral,0.8085
21784,SHOE SHINE BOX ,Neutral,0.7694
21172,PARTY METAL SIGN ,Neutral,0.8102
82600,NO SINGING METAL SIGN,Neutral,0.5265
22282,12 EGG HOUSE PAINTED WOOD,Neutral,0.8351
21842,PINK HEART CANDY BUTTON CALCULATOR,Neutral,0.7682
22089,PAPER BUNTING VINTAGE PAISLEY,Neutral,0.8136
20734,SILVER MINI TAPE MEASURE ,Neutral,0.8254
35071,ASSORTED SANTA CHRISTMAS DECORATION,Neutral,0.8094
22121,NOEL WOODEN BLOCK LETTERS ,Neutral,0.7053
84836,ZINC METAL HEART DECORATION,Neutral,0.8642
37492A,YELLOW RED FLOWER PIGGY BANK,Neutral,0.7892
10133,COLOURING PENCILS BROWN TUBE,Neutral,0.8106
22113,GREY HEART HOT WATER BOTTLE,Neutral,0.6032
20782,CAMOUFLAGE EAR MUFF HEADPHONES,Neutral,0.8428
22190,LOCAL CAFE MUG,Neutral,0.7858
84029G,KNITTED UNION FLAG HOT WATER BOTTLE,Neutral,0.8388
21489,BLUE WHITE SCARF HOT WATER BOTTLE,Neutral,0.7938
20987,GEISHA GIRL CHOPSTICKS SET/5,Neutral,0.8953
20989,URBAN CHIC CHOPSTICKS SET/5,Neutral,0.8221
21868,POTTING SHED TEA MUG,Neutral,0.749
21875,KINGS CHOICE MUG,Neutral,0.7938
21826,EIGHT PIECE DINOSAUR SET,Neutral,0.8084
21827,EIGHT PIECE CREEPY CRAWLIE SET,Neutral,0.7849
21828,EIGHT PIECE SNAKE  SET,Neutral,0.7743
16225,RATTLE SNAKE EGGS,Neutral,0.5884
21829,DINOSAUR KEYRINGS ASSORTED,Neutral,0.802
21638,ASSORTED TUTTI FRUTTI NOTEBOOK,Neutral,0.77
22218,CAKE STAND LACE WHITE,Neutral,0.7882
22222,CAKE PLATE LOVEBIRD WHITE,Neutral,0.7473
22305,COFFEE MUG PINK PAISLEY DESIGN,Neutral,0.8766
22304,COFFEE MUG BLUE PAISLEY DESIGN,Neutral,0.8454
22302,COFFEE MUG PEARS  DESIGN,Neutral,0.8229
22303,COFFEE MUG APPLES DESIGN,Neutral,0.8301
22127,PARTY CONES CARNIVAL ASSORTED,Neutral,0.8426
21143,ANTIQUE GLASS HEART DECORATION ,Neutral,0.7983
21639,ASSORTED TUTTI FRUTTI KEYRING,Neutral,0.7309
22154,ANGEL DECORATION 3 BUTTONS ,Neutral,0.8275
22155,STAR DECORATION RUSTIC,Neutral,0.5583
21889,WOODEN BOX OF DOMINOES,Neutral,0.5445
85045,GREEN CHRISTMAS TREE STRING 20LIGHT,Neutral,0.7827
85044,RED REINDEER STRING OF 20 LIGHTS,Neutral,0.8116
21587,COSY HOUR GIANT TUBE MATCHES,Neutral,0.8452
21588,RETRO SPOT GIANT  TUBE MATCHES,Neutral,0.8571
21818,GLITTER CHRISTMAS HEART ,Positive,0.519
21819,GLITTER CHRISTMAS STAR ,Neutral,0.7339
21817,GLITTER CHRISTMAS TREE,Neutral,0.7861
48111,DOOR MAT 3 SMILEY CATS,Neutral,0.831
20685,RED SPOTTY COIR DOORMAT,Neutral,0.6837
48194,DOORMAT HEARTS,Neutral,0.7493
21495,SKULLS WRAP,Negative,0.5564
47505,MINATURE COLOURED GARDENING SET,Neutral,0.8492
10135,COLOURING PENCILS BROWN TUBE,Neutral,0.8106
37492C,GREEN BLUE FLOWER PIGGY BANK,Neutral,0.7682
20677,PINK SPOTTY BOWL,Neutral,0.6779
20676,RED SPOTTY BOWL,Neutral,0.6436
21086,SET/6 RED SPOTTY PAPER CUPS,Neutral,0.8374
21948,SET OF 6 CAKE CHOPSTICKS,Neutral,0.8436
21833,CAMOUFLAGE LED TORCH,Neutral,0.783
21832,CHOCOLATE CALCULATOR,Neutral,0.662
22315,200 RED + WHITE BENDY STRAWS,Neutral,0.8415
21870,I CAN ONLY PLEASE ONE PERSON MUG,Neutral,0.4715
22115,METAL SIGN EMPIRE TEA,Neutral,0.8496
21166,COOK WITH WINE METAL SIGN ,Neutral,0.805
21175,GIN + TONIC DIET METAL SIGN,Neutral,0.8418
21174,POTTERING IN THE SHED METAL SIGN,Neutral,0.8145
22197,"POPCORN HOLDER , SMALL ",Neutral,0.774
21094,SET/6 RED SPOTTY PAPER PLATES,Neutral,0.8745
72724,SET/6 CHRISTMAS ICICLE T-LIGHTS,Neutral,0.8835
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,Neutral,0.8698
37424,WHITE WITH BLACK CATS MUG,Neutral,0.838
21136,PAINTED METAL PEARS ASSORTED,Neutral,0.7895
21238,RED SPOTTY CUP,Neutral,0.5842
21240,BLUE  SPOTTY CUP,Neutral,0.7285
21239,PINK  SPOTTY CUP,Neutral,0.6876
84007,MAGIC GARDEN MOUNT FUJI,Neutral,0.8248
84012,MAGIC SHEEP WOOL GROWING FROM PAPER,Neutral,0.6848
22077,6 RIBBONS RUSTIC CHARM,Neutral,0.8452
85049A,TRADITIONAL CHRISTMAS RIBBONS,Neutral,0.8283
85049E,SCANDINAVIAN REDS RIBBONS,Neutral,0.8338
22075,6 RIBBONS ELEGANT CHRISTMAS ,Neutral,0.8145
22076,6 RIBBONS EMPIRE  ,Neutral,0.8377
79323LP,LIGHT PINK CHERRY LIGHTS,Neutral,0.5473
79342B,BROWN FLOWER LIGHTS,Neutral,0.7308
79341,WILLOW BRANCH LIGHTS.,Neutral,0.7388
21976,PACK OF 60 MUSHROOM CAKE CASES,Neutral,0.8776
21498,RED SPOTS  WRAP ,Neutral,0.6171
84948,SILVER HANGING T-LIGHT HOLDER DOME,Neutral,0.8522
21537,RETRO SPOTS PUDDING BOWL,Neutral,0.8173
20718,RED SPOTTY SHOPPER BAG,Neutral,0.7275
21173,LOO ROLL  METAL SIGN ,Neutral,0.691
